"","length.sd","FA.min.sd","FA.max.sd","FA.Qu_1st.sd","FA.med.sd","FA.Qu_3rd.sd","FA.Qu_95.sd","MD.min.sd","MD.max.sd","MD.Qu_1st.sd","MD.med.sd","MD.Qu_3rd.sd","MD.Qu_95.sd","Da.min.sd","Da.max.sd","Da.Qu_1st.sd","Da.med.sd","Da.Qu_3rd.sd","Da.Qu_95.sd","Dr.min.sd","Dr.max.sd","Dr.Qu_1st.sd","Dr.med.sd","Dr.Qu_3rd.sd","Dr.Qu_95.sd","tract"
"ar_l",663.119,0.019,0.087,0.028,0.026,0.027,0.033,68.868,4.138,20.499,24.953,34.536,55.722,94.135,86.131,32.275,42.346,43.296,45.957,88.169,16.786,21.797,22.834,35.023,56.732,"ar_l"
"ar_r",648.423,0.024,0.074,0.03,0.028,0.027,0.03,64.106,5.475,23.011,27.058,33.259,51.186,113.462,91.761,37.089,45.396,46.99,47.067,73.581,20.448,24.302,25.857,31.942,52.987,"ar_r"
"atr_l",569.827,0.036,0.069,0.017,0.019,0.022,0.028,63.128,6.488,18.147,19.679,26.086,40.506,89.927,142.738,23.509,24.951,27.868,39.172,85.336,29.49,22.339,22.029,23.61,39.867,"atr_l"
"atr_r",547.762,0.031,0.062,0.019,0.02,0.021,0.024,56.627,4.415,17.595,18.688,23.589,39.28,82.685,152.875,23.071,25.032,26.995,38.01,70.905,23.257,22.053,22.367,23.547,44.61,"atr_r"
"cgc_l",312.418,0.035,0.059,0.042,0.04,0.042,0.045,58.913,114.917,26.896,38.721,53.017,65.517,50.839,208.283,55.442,65.484,80.974,108.699,66.031,136.731,37.45,41.944,49.502,59.991,"cgc_l"
"cgc_r",334.426,0.03,0.056,0.038,0.035,0.038,0.043,58.799,101.346,22.654,23.757,33.199,49.802,63.79,142.16,44.317,46.484,57.857,81.116,55.677,118.001,31.351,28.692,32.243,43.789,"cgc_r"
"cgh_l",522.597,0.019,0.083,0.028,0.029,0.03,0.039,77.768,1.666,25.5,38.318,50.082,36.951,106.258,108.04,31.815,35.356,38.28,44.494,72.133,14.842,32.645,42.916,53.291,41.815,"cgh_l"
"cgh_r",441.483,0.014,0.092,0.026,0.03,0.035,0.045,91.845,1.355,27.374,37.327,45.356,26.638,106.335,112.626,35.914,38.836,42.104,45.78,83.353,14.853,33.877,40.591,46.873,31.394,"cgh_r"
"cst_l",832.26,0.034,0.049,0.031,0.028,0.028,0.027,34.378,2.913,19.266,17.761,18.896,49.079,86.422,101.893,31.883,32.366,33.111,45.434,70.044,29.9,26.158,24.299,24.35,47.768,"cst_l"
"cst_r",675.971,0.03,0.057,0.027,0.026,0.027,0.028,46.562,3.936,19.116,18.986,21.042,43.946,83.016,90.812,34.338,34.701,38.347,48.34,85.457,32.015,24.21,23.817,22.58,46.44,"cst_r"
"fma",965.594,0.028,0.044,0.03,0.033,0.034,0.026,39.769,0.687,19.87,23.312,28.955,46.677,109.459,145.545,48.599,53.385,45.87,58.777,80.9,27.788,36.114,28.904,30.529,42.392,"fma"
"fmi",739.705,0.041,0.057,0.031,0.032,0.038,0.037,59.37,2.096,23.816,24.319,26.537,35.501,119.644,173.763,42.597,45.036,74.88,54.181,107.482,41.668,35.34,30.057,30.402,31.205,"fmi"
"ifo_l",769.247,0.037,0.074,0.022,0.022,0.025,0.033,62.089,6.779,21.718,23.099,28.087,41.048,123.206,110.647,33.128,34.075,40.06,54.534,92.36,42.999,24.91,24.606,28.045,40.014,"ifo_l"
"ifo_r",811.638,0.03,0.089,0.023,0.024,0.024,0.033,56.423,2.242,23.058,22.786,27.402,38.823,112.736,197.927,31.85,33.129,40.607,58.657,97.573,42.322,26.349,26.198,27.605,40.146,"ifo_r"
"ilf_l",744.887,0.035,0.079,0.024,0.021,0.025,0.031,76.29,33.494,23.822,27.037,33.875,55.289,102.65,110.267,36.69,37.678,43.399,55.554,104,70.955,27.625,27.674,35.169,54.876,"ilf_l"
"ilf_r",776.977,0.029,0.095,0.029,0.028,0.028,0.035,80.644,10.601,24.541,28.883,36.511,53.136,105.395,105.616,39.502,40.264,44.351,60.603,114.567,58.911,28.867,33.045,40.325,54.668,"ilf_r"
"mcp",1109.829,0.038,0.055,0.045,0.046,0.047,0.046,25.503,1.034,21.112,27.744,38.635,36.913,97.634,113.915,47.932,53.187,60.714,63.617,64.947,30.896,33.043,33.935,40.589,41.518,"mcp"
"ml_l",366.451,0.028,0.068,0.03,0.03,0.034,0.042,32.586,1.25,21.034,21.402,28.299,23.781,70.617,88.844,38.342,48.79,53.218,55.571,69.896,20.578,25.497,24.045,29.395,30.025,"ml_l"
"ml_r",355.508,0.026,0.068,0.028,0.032,0.033,0.036,44.215,1.825,21.66,20.13,27.889,30.313,72.904,100.579,33.233,39.733,44.45,51.574,74.634,22.595,26.891,26.012,30.619,37.001,"ml_r"
"ptr_l",805.734,0.028,0.079,0.027,0.027,0.028,0.033,59.588,1.913,18.992,23.22,31.079,52.351,84.246,172.873,35.91,39.937,46.362,54.525,94.518,24.062,27.589,26.917,28.354,44.338,"ptr_l"
