tract,length.sd,FA.min.sd,FA.max.sd,FA.Qu_1st.sd,FA.med.sd,FA.Qu_3rd.sd,FA.Qu_95.sd,MD.min.sd,MD.max.sd,MD.Qu_1st.sd,MD.med.sd,MD.Qu_3rd.sd,MD.Qu_95.sd,Da.min.sd,Da.max.sd,Da.Qu_1st.sd,Da.med.sd,Da.Qu_3rd.sd,Da.Qu_95.sd,Dr.min.sd,Dr.max.sd,Dr.Qu_1st.sd,Dr.med.sd,Dr.Qu_3rd.sd,Dr.Qu_95.sd
ar_l,711.532,0.02,0.088,0.033,0.032,0.031,0.034,69.074,3.889,19.933,24.225,33.811,53.183,95.789,87.658,29.968,41.529,41.583,46.246,90.081,15.261,24.212,26.682,37.477,55.931
ar_r,617.739,0.024,0.075,0.03,0.03,0.031,0.032,65.418,5.15,22.796,27.089,35.379,53.203,108.884,89.403,35.963,47.107,48.87,47.933,78.065,19.49,24.626,25.827,35.024,54.983
atr_l,588.468,0.038,0.07,0.02,0.022,0.025,0.031,62.974,5.522,17.817,19.787,27.013,44.067,91.183,144.35,24.769,27.103,30.094,40.795,83.823,26.741,22.85,23.14,25.85,46.096
atr_r,603.389,0.034,0.063,0.019,0.021,0.025,0.029,59.573,4.658,17.56,18.655,23.776,42.392,93.724,154.853,22.435,24.727,28.377,42.619,70.574,25.289,23.521,22.974,24.359,49.012
cgc_l,315.406,0.035,0.055,0.043,0.041,0.042,0.043,65.007,116.877,27.01,36.064,51.363,68.519,64.635,192.379,55.416,65.35,78.625,105.782,61.182,129.351,36.869,39.624,46.949,59.033
cgc_r,331.277,0.029,0.057,0.037,0.038,0.042,0.047,65.604,103.322,26.273,24.917,34.994,53.766,67.676,145.847,45.437,47.237,57.76,81.394,59.794,119.838,35.692,32.765,35.603,45.731
cgh_l,576.919,0.021,0.078,0.028,0.029,0.03,0.036,86.365,1.656,25.838,38.637,50.839,37.773,116.81,116.569,31.219,36.714,39.04,46.491,79.725,15.139,32.58,42.913,53.005,43.162
cgh_r,414.18,0.016,0.091,0.025,0.029,0.035,0.045,90.391,1.401,28.501,38.742,48.191,29.706,114.824,127.286,38.284,40.822,45.849,52.679,83.736,13.433,33.279,40.906,47.94,32.728
cst_l,1071.685,0.032,0.056,0.033,0.031,0.029,0.029,35.604,2.649,19.316,17.219,21.399,52.39,86.233,111.365,33.071,34.554,36.073,53.891,80.975,31.685,26.87,26.154,27.724,49.959
cst_r,717.567,0.03,0.056,0.026,0.026,0.027,0.029,48.884,3.618,18.329,18.093,19.55,39.217,88.603,96.972,36.307,37.944,43.298,55.399,82.992,31.633,23.342,22.065,20.797,38.935
