"","player","tract","measure","length","min","max","Qu_1st","median","Qu_3rd","Qu_95"
"FA","UCLA-FB-1002","ar_l","FA",2965,0.057669,0.91773,0.25652,0.38846,0.51292,0.665926
"MD","UCLA-FB-1002","ar_l","MD",2965,434.607,1196.3807,717.2002,756.6426,813.6987,990.36524
"Da","UCLA-FB-1002","ar_l","Da",2965,615.7014,1696.8661,987.5688,1107.619,1236.6062,1420.5991
"Dr","UCLA-FB-1002","ar_l","Dr",2965,154.3525,1161.9926,506.4133,581.0001,664.6651,901.44374
"FA1","UCLA-FB-1002","ar_r","FA",1691,0.042417,0.76406,0.282955,0.35571,0.46011,0.584705
"MD1","UCLA-FB-1002","ar_r","MD",1691,458.4163,1198.0881,719.0082,762.7773,808.5755,904.77
"Da1","UCLA-FB-1002","ar_r","Da",1691,532.8907,1667.2615,956.8474,1085.5038,1191.0256,1369.09215
"Dr1","UCLA-FB-1002","ar_r","Dr",1691,242.1571,1030.2638,530.97535,609.474,670.51025,773.5069
"FA2","UCLA-FB-1002","atr_l","FA",5534,0.15393,0.80986,0.319885,0.39901,0.50017,0.629565
"MD2","UCLA-FB-1002","atr_l","MD",5534,402.6806,1194.853,698.6146,739.9903,778.374875,905.344675
"Da2","UCLA-FB-1002","atr_l","Da",5534,559.7131,1674.7177,993.101775,1088.709,1194.2459,1384.611895
"Dr2","UCLA-FB-1002","atr_l","Dr",5534,204.271,1129.1526,493.76405,575.67495,631.35325,739.193954999999
"FA3","UCLA-FB-1002","atr_r","FA",5301,0.089418,0.87901,0.31655,0.39666,0.49239,0.6491
"MD3","UCLA-FB-1002","atr_r","MD",5301,408.7125,1196.4348,700.9443,740.9327,809.6281,958.4117
"Da3","UCLA-FB-1002","atr_r","Da",5301,557.0538,1893.4044,994.3643,1106.3381,1219.345,1451.578
"Dr3","UCLA-FB-1002","atr_r","Dr",5301,132.2475,1059.2456,505.5472,571.8122,640.0816,805.4443
